Symbol,Date,Open,High,Low,Adj Close,Close,Volume
PEPE24478-USD,11/19/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,61940272
PEPE24478-USD,11/20/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,119686957
PEPE24478-USD,11/21/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,108587591
PEPE24478-USD,11/22/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,70801660
PEPE24478-USD,11/23/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,55243884
PEPE24478-USD,11/24/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,64199578
PEPE24478-USD,11/25/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,78363166
PEPE24478-USD,11/26/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,74045892
PEPE24478-USD,11/27/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,70975805
PEPE24478-USD,11/28/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,54535400
PEPE24478-USD,11/29/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,46769247
PEPE24478-USD,11/30/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,37537403
PEPE24478-USD,12/1/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,46730978
PEPE24478-USD,12/2/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,80020491
PEPE24478-USD,12/3/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,106530466
PEPE24478-USD,12/4/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,438470470
PEPE24478-USD,12/5/2023,1.00E-06,2.00E-06,1.00E-06,2.00E-06,2.00E-06,513845736
PEPE24478-USD,12/6/2023,2.00E-06,2.00E-06,1.00E-06,1.00E-06,1.00E-06,340500785
PEPE24478-USD,12/7/2023,1.00E-06,2.00E-06,1.00E-06,2.00E-06,2.00E-06,202978271
PEPE24478-USD,12/8/2023,2.00E-06,2.00E-06,1.00E-06,2.00E-06,2.00E-06,144404654
PEPE24478-USD,12/9/2023,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,253703070
PEPE24478-USD,12/10/2023,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,145669339
PEPE24478-USD,12/11/2023,2.00E-06,2.00E-06,1.00E-06,1.00E-06,1.00E-06,195505769
PEPE24478-USD,12/12/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,124857349
PEPE24478-USD,12/13/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,115699042
PEPE24478-USD,12/14/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,144898222
PEPE24478-USD,12/15/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,111652806
PEPE24478-USD,12/16/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,114331732
PEPE24478-USD,12/17/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,88971539
PEPE24478-USD,12/18/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,93420897
PEPE24478-USD,12/19/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,71650281
PEPE24478-USD,12/20/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,78267142
PEPE24478-USD,12/21/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,96061339
PEPE24478-USD,12/22/2023,1.00E-06,2.00E-06,1.00E-06,2.00E-06,2.00E-06,343799133
PEPE24478-USD,12/23/2023,2.00E-06,2.00E-06,1.00E-06,1.00E-06,1.00E-06,129357653
PEPE24478-USD,12/24/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,117062194
PEPE24478-USD,12/25/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,90793673
PEPE24478-USD,12/26/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,115157595
PEPE24478-USD,12/27/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,138689018
PEPE24478-USD,12/28/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,114589833
PEPE24478-USD,12/29/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,91832171
PEPE24478-USD,12/30/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,56262774
PEPE24478-USD,12/31/2023,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,59241163
PEPE24478-USD,1/1/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,61952343
PEPE24478-USD,1/2/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,79866723
PEPE24478-USD,1/3/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,178005700
PEPE24478-USD,1/4/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,91401276
PEPE24478-USD,1/5/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,81767209
PEPE24478-USD,1/6/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,67830743
PEPE24478-USD,1/7/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,71956538
PEPE24478-USD,1/8/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,99087977
PEPE24478-USD,1/9/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,97567935
PEPE24478-USD,1/10/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,222916523
PEPE24478-USD,1/11/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,231364471
PEPE24478-USD,1/12/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,161365355
PEPE24478-USD,1/13/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,82111365
PEPE24478-USD,1/14/2024,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,66814354
