Symbol,Type,Logo
AAPL,Stock,https://i.postimg.cc/zfTYDYxX/pngwing-com-4.png
GOOGL,Stock,https://i.postimg.cc/15W9bSjk/pngwing-com-9.png
AMZN,Stock,https://i.postimg.cc/7YQkmVCD/pngwing-com-5.png
MSFT,Stock,https://i.postimg.cc/76gHRTF9/pngwing-com-17.png
META,Stock,https://i.postimg.cc/cLpNNLMb/pngwing-com-6.png
TSLA,Stock,https://i.postimg.cc/9XbVqVCD/pngwing-com-8.png
F,Stock,https://i.postimg.cc/zXpB5KVP/pngwing-com-15.png
NVDA,Stock,https://i.postimg.cc/858kwb0s/pngwing-com-14.png
ETRN,Stock,https://i.postimg.cc/rwPwRTG1/images-removebg-preview.png
KO,Stock,https://i.postimg.cc/Vkb34cQB/pngwing-com-11.png
NFLX,Stock,https://i.postimg.cc/0Qdvn1SH/pngwing-com-13.png
ADANI,Stock,https://i.postimg.cc/rmcXKZHG/pngwing-com-7.png
INFY,Stock,https://i.postimg.cc/NjSQf4Yb/pngwing-com-10.png
INTC,Stock,https://i.postimg.cc/vTsB8vrC/pngwing-com-18.png
BTC-USD,Crypto,https://i.postimg.cc/8CQHXxDP/1-2.png
ETH-USD,Crypto,https://i.postimg.cc/WpgZp8Bx/1027.png
LEO-USD,Crypto,https://i.postimg.cc/fRtDZ2F9/3957.png
SOL-USD,Crypto,https://i.postimg.cc/rm6pvXws/5426.png
BND-USD,Crypto,https://i.postimg.cc/fTkhjqMr/1839.png
XRP-USD,Crypto,https://i.postimg.cc/bvRzFGWC/52.png
STETH-USD,Crypto,https://i.postimg.cc/YC6khGrr/8085.png
USDC-USD,Crypto,https://i.postimg.cc/MHJqD7WW/3408.png
ADA-USD,Crypto,https://i.postimg.cc/xCz9MxVx/2010.png
FDUSD-USD,Crypto,https://i.postimg.cc/MGcwJPH6/26081.png
FIL-USD,Crypto,https://i.postimg.cc/Y0GcJ83c/2280.png
WETH,Crypto,https://i.postimg.cc/cC7Z5vHf/2396.png
LINK-USD,Crypto,https://i.postimg.cc/zfMJLm6H/1975.png
AVAX-USD,Crypto,https://i.postimg.cc/sDy3G46m/5805.png
WBTC-USD,Crypto,https://i.postimg.cc/1RD9zjH4/3717.png
VBNB-USD,Crypto,https://i.postimg.cc/Z55ZVKhy/7961.png
RSR-USD,Crypto,https://i.postimg.cc/3Nhqnwwg/reserve-your-rights-rsr-logo.png
HMSTR-USD,Crypto,https://i.postimg.cc/xC5GVjRG/Hamster-Kombat-Coin-PNG.png
PEPE24478-USD,Crypto,https://i.postimg.cc/HL28VZyd/3eb3a7b7833916b8fc1320cd2d5ebf36-removebg-preview.png
RVN-USD,Crypto,https://i.postimg.cc/B6z6KdQ9/image.png
SHIB-USD,Crypto,https://i.postimg.cc/fy0bjBJ3/Shiba-Inu-coin-logo.png
BTTOLD-USD,Crypto,https://i.postimg.cc/XXSY2dCs/bittorrent-bttold-logo.png
FLOKI-USD,Crypto,https://i.postimg.cc/ZY1PkQPM/floki-inu-floki-logo.png
LUNC-USD,Crypto,https://i.postimg.cc/8zGhcr0d/4172.png
1MBABYDOGE-USD,Crypto,https://i.postimg.cc/7hg5rKDF/image-1.png
NEIRO32521-USD,Crypto,https://i.postimg.cc/8C9cF2C8/image-2.png
USDT-USD,Crypto,https://i.postimg.cc/43WD9prg/825.png
SQQQ,ETFs,https://in.tradingview.com/symbols/NASDAQ-SQQQ/
SOXL,ETFs,https://i.postimg.cc/1z7WBVk9/community-Icon-tvmu7bgv6yj61.png
SPXS,ETFs,https://i.postimg.cc/gJ6KKSyD/images-1.png
SPY,ETFs,https://i.postimg.cc/tJQNv32H/images-2.png
QQQ,ETFs,https://i.postimg.cc/DZsMzyNn/QQQ-original.png
JPY,Currency,https://i.postimg.cc/RFxCbq5H/shutterstock-561115987-5bfc338246e0fb0051465108.jpg
INRUSD,Currency,https://i.postimg.cc/BbvLZthV/images-3.png
HKD,currency,https://i.postimg.cc/SRG2kC78/hkd-hong-kong-dollar-sign-symbol-black-isolated-vector-31902300.jpg
